Day-ahead demand forecast for Seattle City Light (SCL) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3389916&sdid=EBA.SCL-ALL.DF.H
22:07:08 GMT-0500 (CDT)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SCL-ALL.DF.H megawatthours
02/19/2021 05H,1312
02/19/2021 04H,1364
02/19/2021 03H,1404
02/19/2021 02H,1369
02/19/2021 01H,1300
02/19/2021 00H,1261
02/18/2021 23H,1283
02/18/2021 22H,1304
02/18/2021 21H,1328
02/18/2021 20H,1341
02/18/2021 19H,1353
02/18/2021 18H,1381
02/18/2021 17H,1400
02/18/2021 16H,1386
02/18/2021 15H,1292
02/18/2021 14H,1153
02/18/2021 13H,1056
02/18/2021 12H,1015
02/18/2021 11H,1004
02/18/2021 10H,1005
02/18/2021 09H,1025
02/18/2021 08H,1082
02/18/2021 07H,1164
02/18/2021 06H,1261
02/18/2021 05H,1335
02/18/2021 04H,1388
02/18/2021 03H,1419
02/18/2021 02H,1380
02/18/2021 01H,1309
02/18/2021 00H,1282
02/17/2021 23H,1270
02/17/2021 22H,1311
02/17/2021 21H,1341
02/17/2021 20H,1356
02/17/2021 19H,1370
02/17/2021 18H,1389
02/17/2021 17H,1411
02/17/2021 16H,1395
02/17/2021 15H,1294
02/17/2021 14H,1144
02/17/2021 13H,1038
02/17/2021 12H,991
02/17/2021 11H,980
02/17/2021 10H,983
02/17/2021 09H,1014
02/17/2021 08H,1122
02/17/2021 07H,1215
02/17/2021 06H,1319
02/17/2021 05H,1395
02/17/2021 04H,1446
02/17/2021 03H,1484
02/17/2021 02H,1446
02/17/2021 01H,1368
02/17/2021 00H,1331
02/16/2021 23H,1345
02/16/2021 22H,1375
02/16/2021 21H,1398
02/16/2021 20H,1410
02/16/2021 19H,1424
02/16/2021 18H,1444
02/16/2021 17H,1460
02/16/2021 16H,1437
02/16/2021 15H,1338
02/16/2021 14H,1199
02/16/2021 13H,1098
02/16/2021 12H,1056
02/16/2021 11H,1047
02/16/2021 10H,1051
02/16/2021 09H,1072
02/16/2021 08H,1146
02/16/2021 07H,1245
02/16/2021 06H,1343
02/16/2021 05H,1422
02/16/2021 04H,1495
02/16/2021 03H,1561
02/16/2021 02H,1541
02/16/2021 01H,1478
02/16/2021 00H,1434
02/15/2021 23H,1441
02/15/2021 22H,1469
02/15/2021 21H,1483
02/15/2021 20H,1493
02/15/2021 19H,1492
02/15/2021 18H,1483
02/15/2021 17H,1457
02/15/2021 16H,1400
02/15/2021 15H,1330
02/15/2021 14H,1241
02/15/2021 13H,1164
02/15/2021 12H,1126
02/15/2021 11H,1119
02/15/2021 10H,1121
02/15/2021 09H,1139
02/15/2021 08H,1200
02/15/2021 07H,1292
02/15/2021 06H,1389
02/15/2021 05H,1455
02/15/2021 04H,1504
02/15/2021 03H,1530
02/15/2021 02H,1488
02/15/2021 01H,1426
02/15/2021 00H,1405
02/14/2021 23H,1406
02/14/2021 22H,1429
02/14/2021 21H,1455
02/14/2021 20H,1454
02/14/2021 19H,1456
02/14/2021 18H,1435
02/14/2021 17H,1375
02/14/2021 16H,1276
02/14/2021 15H,1225
02/14/2021 14H,1202
02/14/2021 13H,1187
